,client_id,amount,date,time
0,986,486.0,6/10/2020,23:47
1,992,802.0,12/26/2020,22:28
2,991,461.0,8/19/2020,22:02
3,987,488.0,8/3/2020,22:44
4,991,438.0,5/27/2020,23:58
5,991,603.0,5/4/2020,22:27
6,988,478.0,11/4/2020,22:24
7,991,747.0,8/4/2020,22:50
8,988,430.0,7/23/2020,23:03
9,992,477.0,7/21/2020,22:57
10,989,724.0,7/25/2020,23:46
11,995,330.0,11/14/2020,22:34
12,995,957.0,3/9/2020,23:05
13,987,411.0,12/24/2020,22:03
14,993,810.0,9/5/2020,22:53
15,989,824.0,1/29/2020,23:55
16,990,271.0,4/5/2020,23:15
17,993,416.0,9/2/2020,22:17
18,995,430.0,10/3/2020,22:31
19,988,249.0,8/27/2020,23:15
20,992,282.0,2/23/2020,22:48
21,993,582.0,1/18/2020,23:56
22,991,567.0,9/30/2020,23:29
23,995,764.0,6/3/2020,22:58
24,991,784.0,7/24/2020,22:57
25,987,484.0,1/8/2020,22:17
26,986,486.0,3/16/2020,23:03
27,989,244.0,12/7/2020,22:23
28,986,523.0,2/27/2020,22:41
29,993,396.0,8/25/2020,23:29
30,988,755.0,5/9/2020,23:43
31,990,995.0,2/11/2020,22:52
32,987,878.0,7/25/2020,23:41
33,986,878.0,10/29/2020,22:28
34,994,984.0,12/15/2020,23:46
35,992,446.0,11/4/2020,23:07
36,990,207.0,12/13/2020,23:05
37,986,651.0,9/6/2020,22:20
38,993,932.0,6/29/2020,22:05
39,994,987.0,5/21/2020,23:00
40,991,665.0,5/20/2020,23:12
41,989,837.0,3/1/2020,23:58
42,987,597.0,6/30/2020,23:25
43,989,334.0,6/19/2020,22:43
44,995,762.0,8/15/2020,23:57
45,986,432.0,1/19/2020,22:16
46,990,325.0,5/8/2020,23:10
47,990,359.0,9/20/2020,23:45
48,991,219.0,6/12/2020,22:23
49,988,611.0,4/18/2020,22:02
50,986,532.0,6/12/2020,22:50
51,986,401.0,9/22/2020,23:18
52,987,596.0,2/15/2020,23:11
53,986,731.0,1/14/2020,22:48
54,989,787.0,7/22/2020,23:52
55,987,674.0,6/12/2020,23:47
56,987,906.0,7/14/2020,22:54
57,988,267.0,7/7/2020,23:39
58,995,216.0,6/9/2020,22:37
59,995,338.0,3/5/2020,22:42
60,991,310.0,9/16/2020,22:05
61,986,948.0,2/26/2020,22:29
62,995,944.0,1/24/2020,22:41
63,990,453.0,3/20/2020,22:45
64,994,388.0,3/29/2020,23:45
65,987,740.0,9/26/2020,23:03
66,995,977.0,3/30/2020,22:07
67,992,1000.0,10/9/2020,22:44
68,991,865.0,6/29/2020,22:49
69,989,912.0,7/16/2020,23:47
70,987,730.0,3/1/2020,22:06
71,989,631.0,1/11/2020,23:25
72,990,947.0,3/23/2020,23:44
73,990,552.0,6/5/2020,23:07
74,990,581.0,1/12/2020,22:41
75,993,999.0,2/7/2020,23:46
76,994,321.0,5/10/2020,23:15
77,986,598.0,8/25/2020,22:16
78,990,745.0,9/9/2020,23:11
79,990,528.0,7/14/2020,23:35
80,992,222.0,11/18/2020,22:24
81,990,911.0,7/11/2020,22:41
82,994,222.0,6/23/2020,22:55
83,993,552.0,11/1/2020,22:23
84,993,371.0,6/13/2020,22:37
85,994,248.0,12/18/2020,22:46
86,988,376.0,3/10/2020,23:01
87,987,449.0,4/27/2020,22:18
88,988,488.0,4/16/2020,22:21
89,994,529.0,5/25/2020,22:40
90,992,324.0,9/8/2020,23:37
91,992,328.0,3/25/2020,22:00
92,990,382.0,2/1/2020,22:53
93,992,265.0,4/8/2020,22:01
94,989,519.0,3/31/2020,22:51
95,990,903.0,9/11/2020,22:01
96,989,317.0,4/13/2020,23:55
97,994,725.0,7/25/2020,22:03
98,989,718.0,11/10/2020,23:49
99,986,978.0,2/13/2020,22:25
100,991,557.0,3/26/2020,23:16
101,993,715.0,2/9/2020,22:43
102,988,552.0,4/7/2020,22:42
103,989,238.0,12/20/2020,23:34
104,995,843.0,4/5/2020,22:27
105,992,487.0,11/27/2020,23:08
106,988,718.0,6/5/2020,22:28
107,993,716.0,7/16/2020,22:19
108,991,603.0,5/20/2020,22:23
109,986,260.0,10/18/2020,22:08
110,994,216.0,1/29/2020,23:31
111,992,695.0,4/21/2020,22:52
112,987,576.0,9/19/2020,23:47
113,987,885.0,3/18/2020,22:21
114,987,499.0,3/28/2020,23:57
115,989,464.0,7/31/2020,22:28
116,993,761.0,3/19/2020,22:31
117,994,645.0,9/20/2020,23:08
118,993,789.0,10/25/2020,23:29
119,994,378.0,9/30/2020,23:53
120,991,571.0,4/21/2020,23:30
121,987,500.0,8/4/2020,22:58
122,995,479.0,1/9/2020,23:17
123,995,560.0,1/27/2020,23:39
124,995,204.0,5/26/2020,22:53
125,990,642.0,1/23/2020,23:23
126,993,390.0,6/6/2020,23:25
127,989,471.0,3/15/2020,23:54
128,988,415.0,2/20/2020,22:36
129,986,208.0,11/1/2020,22:25
130,994,554.0,9/11/2020,22:28
131,988,433.0,5/13/2020,23:56
132,989,812.0,2/1/2020,22:43
133,994,822.0,3/11/2020,23:56
134,995,543.0,11/2/2020,23:50
135,987,737.0,1/5/2020,23:42
136,992,805.0,12/9/2020,23:57
137,987,290.0,9/18/2020,23:56
138,986,748.0,10/13/2020,23:42
139,992,968.0,1/25/2020,23:42
140,986,702.0,7/1/2020,22:20
141,992,334.0,11/8/2020,23:09
142,995,612.0,9/3/2020,23:27
143,994,548.0,12/21/2020,23:09
144,990,882.0,8/17/2020,22:48
145,989,798.0,8/17/2020,23:40
146,993,249.0,10/29/2020,22:58
147,994,930.0,3/30/2020,23:06
148,995,519.0,10/22/2020,23:03
149,990,897.0,12/11/2020,23:33
150,994,680.0,3/1/2020,22:23
151,990,999.0,7/24/2020,22:06
152,991,522.0,9/4/2020,22:26
153,993,737.0,8/20/2020,23:29
154,991,942.0,2/13/2020,22:37
155,995,416.0,12/7/2020,22:56
156,988,312.0,1/29/2020,23:07
157,990,511.0,5/16/2020,22:18
158,993,340.0,2/12/2020,22:44
159,990,537.0,7/7/2020,23:41
160,986,478.0,3/20/2020,22:57
161,990,650.0,2/18/2020,22:58
162,987,591.0,2/14/2020,23:40
163,993,907.0,1/25/2020,22:41
164,989,495.0,4/27/2020,23:20
165,988,482.0,11/2/2020,22:17
166,993,472.0,3/30/2020,23:27
167,987,850.0,12/11/2020,22:37
168,989,323.0,5/11/2020,22:59
169,986,631.0,5/10/2020,23:30
170,989,474.0,12/23/2020,22:35
171,987,993.0,6/25/2020,22:30
172,987,782.0,6/13/2020,23:04
173,995,929.0,8/30/2020,22:50
174,986,329.0,3/7/2020,23:40
175,995,357.0,6/15/2020,23:17
176,987,309.0,12/20/2020,23:53
177,995,324.0,11/1/2020,22:31
178,988,690.0,3/27/2020,22:57
179,987,354.0,5/23/2020,22:30
180,991,634.0,6/3/2020,22:16
181,991,865.0,12/12/2020,22:18
182,988,885.0,10/18/2020,22:49
183,995,877.0,6/13/2020,22:35
184,989,461.0,11/7/2020,23:27
185,994,273.0,5/11/2020,23:55
186,994,768.0,3/26/2020,23:28
187,991,241.0,4/30/2020,22:04
188,986,877.0,7/3/2020,23:44
189,991,823.0,3/7/2020,23:10
190,995,437.0,9/30/2020,23:32
191,992,561.0,1/27/2020,22:26
192,995,786.0,9/30/2020,23:14
193,993,971.0,10/7/2020,22:12
194,988,866.0,2/15/2020,23:12
195,993,938.0,7/15/2020,22:19
196,990,305.0,8/20/2020,22:04
197,986,824.0,11/17/2020,23:50
198,986,436.0,9/23/2020,22:39
199,994,838.0,7/23/2020,23:40
200,988,312.0,2/7/2020,23:30
201,986,927.0,9/14/2020,22:36
202,989,845.0,3/17/2020,22:59
203,987,604.0,1/21/2020,22:03
204,986,974.0,5/21/2020,22:20
205,989,505.0,9/29/2020,22:44
206,994,687.0,3/28/2020,23:38
207,992,414.0,2/17/2020,22:25
208,988,312.0,11/20/2020,22:59
209,994,264.0,9/20/2020,23:36
210,989,608.0,9/20/2020,23:03
211,994,299.0,2/14/2020,23:37
212,994,973.0,8/19/2020,23:52
213,988,273.0,1/2/2020,22:04
214,994,574.0,4/8/2020,22:21
215,986,939.0,10/31/2020,22:22
216,987,278.0,1/4/2020,23:14
217,990,326.0,8/31/2020,23:44
218,993,316.0,8/25/2020,23:04
219,988,427.0,6/13/2020,23:40
220,993,874.0,7/17/2020,23:25
221,990,586.0,2/16/2020,22:12
222,993,709.0,1/1/2020,23:20
223,989,533.0,2/10/2020,22:41
224,989,995.0,1/17/2020,22:43
225,986,549.0,1/31/2020,23:49
226,989,546.0,7/6/2020,22:29
227,993,624.0,7/25/2020,23:20
228,987,466.0,8/12/2020,22:39
229,990,670.0,12/10/2020,23:26
230,993,877.0,10/7/2020,22:08
231,994,502.0,2/17/2020,22:39
232,986,225.0,8/24/2020,22:02
233,986,391.0,9/26/2020,22:39
234,986,339.0,9/18/2020,22:33
235,987,838.0,11/27/2020,23:04
236,988,644.0,7/9/2020,22:44
237,989,989.0,7/14/2020,22:48
238,991,780.0,11/24/2020,22:18
239,992,355.0,1/15/2020,22:01
240,986,757.0,9/4/2020,23:14
241,995,254.0,7/5/2020,22:18
